date,Actual,2021/8/10,2021/8/22,2021/8/29,2021/9/1,2021/9/8,2022/1/25,2022/2/1,2022/2/8,2022/2/14,2022/7/11,2022/7/19,2022/7/25,2022/8/17,2022/8/31,2022/12/13,2023/4/25
2021/3/1,269 ,,,,,,,,,,,,,,,,
2021/3/2,263 ,,,,,,,,,,,,,,,,
2021/3/3,278 ,,,,,,,,,,,,,,,,
2021/3/4,269 ,,,,,,,,,,,,,,,,
2021/3/5,274 ,,,,,,,,,,,,,,,,
2021/3/6,267 ,,,,,,,,,,,,,,,,
2021/3/7,254 ,,,,,,,,,,,,,,,,
2021/3/8,253 ,,,,,,,,,,,,,,,,
2021/3/9,262 ,,,,,,,,,,,,,,,,
2021/3/10,265 ,,,,,,,,,,,,,,,,
2021/3/11,273 ,,,,,,,,,,,,,,,,
2021/3/12,274 ,,,,,,,,,,,,,,,,
2021/3/13,279 ,,,,,,,,,,,,,,,,
2021/3/14,279 ,,,,,,,,,,,,,,,,
2021/3/15,288 ,,,,,,,,,,,,,,,,
2021/3/16,289 ,,,,,,,,,,,,,,,,
2021/3/17,299 ,,,,,,,,,,,,,,,,
2021/3/18,297 ,,,,,,,,,,,,,,,,
2021/3/19,297 ,,,,,,,,,,,,,,,,
2021/3/20,299 ,,,,,,,,,,,,,,,,
2021/3/21,301 ,,,,,,,,,,,,,,,,
2021/3/22,303 ,,,,,,,,,,,,,,,,
2021/3/23,308 ,,,,,,,,,,,,,,,,
2021/3/24,310 ,,,,,,,,,,,,,,,,
2021/3/25,320 ,,,,,,,,,,,,,,,,
2021/3/26,330 ,,,,,,,,,,,,,,,,
2021/3/27,343 ,,,,,,,,,,,,,,,,
2021/3/28,351 ,,,,,,,,,,,,,,,,
2021/3/29,358 ,,,,,,,,,,,,,,,,
2021/3/30,362 ,,,,,,,,,,,,,,,,
2021/3/31,361 ,,,,,,,,,,,,,,,,
2021/4/1,372 ,,,,,,,,,,,,,,,,
2021/4/2,381 ,,,,,,,,,,,,,,,,
2021/4/3,383 ,,,,,,,,,,,,,,,,
2021/4/4,389 ,,,,,,,,,,,,,,,,
2021/4/5,391 ,,,,,,,,,,,,,,,,
2021/4/6,396 ,,,,,,,,,,,,,,,,
2021/4/7,416 ,,,,,,,,,,,,,,,,
2021/4/8,426 ,,,,,,,,,,,,,,,,
